FSA,Bracket,Number
A2N,"Under $5,000",490
A2N,"$5,000 to $9,999",510
A2N,"$10,000 to $14,999",840
A2N,"$15,000 to $19,999",830
A2N,"$20,000 to $24,999",710
A2N,"$25,000 to $29,999",490
A2N,"$30,000 to $34,999",450
A2N,"$35,000 to $39,999",380
A2N,"$40,000 to $44,999",400
A2N,"$45,000 to $49,999",390
A2N,"$50,000 to $54,999",260
A2N,"$55,000 to $59,999",260
A2N,"$60,000 to $69,999",350
A2N,"$70,000 to $79,999",250
A2N,"$80,000 to $89,999",190
A2N,"$90,000 to $99,999",160
A2N,"$100,000 to $149,999",370
A2N,"$150,000 to $249,999",100
A2N,"$250,000 and over",30
A2V,"Under $5,000",310
A2V,"$5,000 to $9,999",240
A2V,"$10,000 to $14,999",250
A2V,"$15,000 to $19,999",210
A2V,"$20,000 to $24,999",240
A2V,"$25,000 to $29,999",240
A2V,"$30,000 to $34,999",280
A2V,"$35,000 to $39,999",240
A2V,"$40,000 to $44,999",210
A2V,"$45,000 to $49,999",200
A2V,"$50,000 to $54,999",180
A2V,"$55,000 to $59,999",160
A2V,"$60,000 to $69,999",270
A2V,"$70,000 to $79,999",240
A2V,"$80,000 to $89,999",230
A2V,"$90,000 to $99,999",200
A2V,"$100,000 to $149,999",1220
A2V,"$150,000 to $249,999",680
A2V,"$250,000 and over",50
A5A,"Under $5,000",420
A5A,"$5,000 to $9,999",360
A5A,"$10,000 to $14,999",570
A5A,"$15,000 to $19,999",740
A5A,"$20,000 to $24,999",660
A5A,"$25,000 to $29,999",540
A5A,"$30,000 to $34,999",430
A5A,"$35,000 to $39,999",420
A5A,"$40,000 to $44,999",340
A5A,"$45,000 to $49,999",310
A5A,"$50,000 to $54,999",260
A5A,"$55,000 to $59,999",240
A5A,"$60,000 to $69,999",360
A5A,"$70,000 to $79,999",250
A5A,"$80,000 to $89,999",200
A5A,"$90,000 to $99,999",140
A5A,"$100,000 to $149,999",510
A5A,"$150,000 to $249,999",150
A5A,"$250,000 and over",40
A8A,"Under $5,000",380
A8A,"$5,000 to $9,999",330
A8A,"$10,000 to $14,999",530
A8A,"$15,000 to $19,999",690
A8A,"$20,000 to $24,999",690
A8A,"$25,000 to $29,999",450
A8A,"$30,000 to $34,999",400
A8A,"$35,000 to $39,999",370
A8A,"$40,000 to $44,999",290
A8A,"$45,000 to $49,999",270
A8A,"$50,000 to $54,999",190
A8A,"$55,000 to $59,999",180
A8A,"$60,000 to $69,999",270
A8A,"$70,000 to $79,999",190
A8A,"$80,000 to $89,999",130
A8A,"$90,000 to $99,999",110
A8A,"$100,000 to $149,999",290
A8A,"$150,000 to $249,999",80
A8A,"$250,000 and over",20
C0A,"Under $5,000",2370
C0A,"$5,000 to $9,999",1910
C0A,"$10,000 to $14,999",2340
C0A,"$15,000 to $19,999",3010
C0A,"$20,000 to $24,999",3290
C0A,"$25,000 to $29,999",2840
C0A,"$30,000 to $34,999",2940
C0A,"$35,000 to $39,999",2690
C0A,"$40,000 to $44,999",2480
C0A,"$45,000 to $49,999",2270
C0A,"$50,000 to $54,999",1770
C0A,"$55,000 to $59,999",1620
C0A,"$60,000 to $69,999",2430
C0A,"$70,000 to $79,999",1690
C0A,"$80,000 to $89,999",1330
C0A,"$90,000 to $99,999",780
C0A,"$100,000 to $149,999",1410
C0A,"$150,000 to $249,999",500
C0A,"$250,000 and over",180
C0B,"Under $5,000",1240
C0B,"$5,000 to $9,999",1110
C0B,"$10,000 to $14,999",1660
C0B,"$15,000 to $19,999",2160
C0B,"$20,000 to $24,999",2440
C0B,"$25,000 to $29,999",2100
C0B,"$30,000 to $34,999",1980
C0B,"$35,000 to $39,999",2010
C0B,"$40,000 to $44,999",1700
C0B,"$45,000 to $49,999",1510
C0B,"$50,000 to $54,999",1230
C0B,"$55,000 to $59,999",1020
C0B,"$60,000 to $69,999",1390
C0B,"$70,000 to $79,999",940
C0B,"$80,000 to $89,999",680
C0B,"$90,000 to $99,999",440
C0B,"$100,000 to $149,999",710
C0B,"$150,000 to $249,999",270
C0B,"$250,000 and over",110
C1A,"Under $5,000",1810
C1A,"$5,000 to $9,999",1240
C1A,"$10,000 to $14,999",1610
C1A,"$15,000 to $19,999",2030
C1A,"$20,000 to $24,999",2180
C1A,"$25,000 to $29,999",1760
C1A,"$30,000 to $34,999",1610
C1A,"$35,000 to $39,999",1350
C1A,"$40,000 to $44,999",1100
C1A,"$45,000 to $49,999",1060
C1A,"$50,000 to $54,999",870
C1A,"$55,000 to $59,999",780
C1A,"$60,000 to $69,999",1210
C1A,"$70,000 to $79,999",870
C1A,"$80,000 to $89,999",640
C1A,"$90,000 to $99,999",430
C1A,"$100,000 to $149,999",810
C1A,"$150,000 to $249,999",300
C1A,"$250,000 and over",190
C1B,"Under $5,000",680
C1B,"$5,000 to $9,999",540
C1B,"$10,000 to $14,999",600
C1B,"$15,000 to $19,999",650
C1B,"$20,000 to $24,999",740
C1B,"$25,000 to $29,999",670
C1B,"$30,000 to $34,999",700
C1B,"$35,000 to $39,999",630
C1B,"$40,000 to $44,999",630
C1B,"$45,000 to $49,999",630
C1B,"$50,000 to $54,999",550
C1B,"$55,000 to $59,999",510
C1B,"$60,000 to $69,999",800
C1B,"$70,000 to $79,999",660
C1B,"$80,000 to $89,999",520
C1B,"$90,000 to $99,999",340
C1B,"$100,000 to $149,999",660
C1B,"$150,000 to $249,999",230
C1B,"$250,000 and over",110
C1C,"Under $5,000",200
C1C,"$5,000 to $9,999",190
C1C,"$10,000 to $14,999",220
C1C,"$15,000 to $19,999",310
C1C,"$20,000 to $24,999",350
C1C,"$25,000 to $29,999",300
C1C,"$30,000 to $34,999",290
C1C,"$35,000 to $39,999",270
C1C,"$40,000 to $44,999",250
C1C,"$45,000 to $49,999",250
C1C,"$50,000 to $54,999",220
C1C,"$55,000 to $59,999",150
C1C,"$60,000 to $69,999",260
C1C,"$70,000 to $79,999",180
