timestamp_utc,timestamp_local,group,trips_tracked,trips_canceled,delays_observed,mean_delay_s,median_delay_s,p90_delay_s,pct_early,pct_ontime,pct_late,error
2026-07-13T05:00:02Z,2026-07-13T01:00:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T05:00:02Z,2026-07-13T01:00:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T06:00:02Z,2026-07-13T02:00:02-0400,all,27,0,0,,,,,,,
2026-07-13T06:00:02Z,2026-07-13T02:00:02-0400,bus,27,0,0,,,,,,,
2026-07-13T06:00:02Z,2026-07-13T02:00:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T06:00:02Z,2026-07-13T02:00:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T07:00:01Z,2026-07-13T03:00:01-0400,all,17,0,0,,,,,,,
2026-07-13T07:00:01Z,2026-07-13T03:00:01-0400,bus,17,0,0,,,,,,,
2026-07-13T07:00:01Z,2026-07-13T03:00:01-0400,otrain,0,0,0,,,,,,,
2026-07-13T07:00:01Z,2026-07-13T03:00:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T08:00:01Z,2026-07-13T04:00:01-0400,all,27,0,0,,,,,,,
2026-07-13T08:00:01Z,2026-07-13T04:00:01-0400,bus,27,0,0,,,,,,,
2026-07-13T08:00:01Z,2026-07-13T04:00:01-0400,otrain,0,0,0,,,,,,,
2026-07-13T08:00:01Z,2026-07-13T04:00:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T09:00:01Z,2026-07-13T05:00:01-0400,all,128,0,0,,,,,,,
2026-07-13T09:00:01Z,2026-07-13T05:00:01-0400,bus,128,0,0,,,,,,,
2026-07-13T09:00:01Z,2026-07-13T05:00:01-0400,otrain,0,0,0,,,,,,,
2026-07-13T09:00:01Z,2026-07-13T05:00:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T09:15:02Z,2026-07-13T05:15:02-0400,all,180,1,0,,,,,,,
2026-07-13T09:15:02Z,2026-07-13T05:15:02-0400,bus,180,1,0,,,,,,,
2026-07-13T09:15:02Z,2026-07-13T05:15:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T09:15:02Z,2026-07-13T05:15:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T09:30:01Z,2026-07-13T05:30:01-0400,all,228,1,0,,,,,,,
2026-07-13T09:30:01Z,2026-07-13T05:30:01-0400,bus,228,1,0,,,,,,,
2026-07-13T09:30:01Z,2026-07-13T05:30:01-0400,otrain,0,0,0,,,,,,,
2026-07-13T09:30:01Z,2026-07-13T05:30:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T09:45:02Z,2026-07-13T05:45:02-0400,all,301,3,0,,,,,,,
2026-07-13T09:45:02Z,2026-07-13T05:45:02-0400,bus,301,3,0,,,,,,,
2026-07-13T09:45:02Z,2026-07-13T05:45:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T09:45:02Z,2026-07-13T05:45:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T10:00:02Z,2026-07-13T06:00:02-0400,all,380,3,0,,,,,,,
2026-07-13T10:00:02Z,2026-07-13T06:00:02-0400,bus,380,3,0,,,,,,,
2026-07-13T10:00:02Z,2026-07-13T06:00:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T10:00:02Z,2026-07-13T06:00:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T10:05:01Z,2026-07-13T06:05:01-0400,all,406,2,0,,,,,,,
2026-07-13T10:05:01Z,2026-07-13T06:05:01-0400,bus,406,2,0,,,,,,,
2026-07-13T10:05:01Z,2026-07-13T06:05:01-0400,otrain,0,0,0,,,,,,,
2026-07-13T10:05:01Z,2026-07-13T06:05:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T10:10:02Z,2026-07-13T06:10:02-0400,all,425,1,0,,,,,,,
2026-07-13T10:10:02Z,2026-07-13T06:10:02-0400,bus,425,1,0,,,,,,,
